owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000062,LART GmbH (livia anne richard theaterproduktionen),Bern,"Richard, Livia Anne",BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000063,"Neue Szene Schweiz, Nouvelle Scène Suisse (NSS) (Projekt)",Bern,Bern: Präsidialabteilung NNS,BE,,,na,1981-1983,,,,1 C,"1981, 1982, 1983"
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000064,Nouvelle Scène <französisch-sprachige Gastspiele im Konzert Theater Bern>,"Bern, KTB",Bern (siehe auch: Bern: Konzert Theater Bern: Stadttheater),,,,,?,,,,1 C,1981-
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000065,Pica Pau Theaterproduktionen,Bern,Bern,BE,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000066,Radio Studio Bern (Hörspiele) (Treffpunkt Studio Bern) (Berner Radio Oper),Bern,Bern,BE,,,na,?,,,,1 C,"1939, 1940, 1946, 1950, 1952, 1955, 1961, 1963, 1967, 1969,1970, 1971, 1975, 1976, 1977, 1979, 1983, 1984, 1986, 1988, 1989, 1990"
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000067,Tanz Aktive Plattform (TAP),Bern,Bern,BE,,-0,na,1988-2012,,,,1 C,1988-2012
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000068,Theater Central,Bern,Bern,BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000069,Theater im Quartier,Bern,Bern,BE,,-0,na,?,,,,1 C,(1981)-(1985)
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000070,Kulturverein Ermitage,Beckenried,Beckenried,NW,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000071,PINS (Petronilla in Scena),Biasca,Biasca,TI,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000072,"Leu Enterprises (Kulturfabrikbigla, Kulturfabrik Bigla, Freilicht Theater Moosegg siehe unter: Feste Häuser)",Biglen (früher Muri BE),Bern: Berner TheaterCompagnie (ZSV),BE,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000073,à propos (association),Biel,Biel,BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000074,Es huere Cabaret,Biel,Biel,BE,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000075,groovesound,Biel,Biel,BE,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000076,Kulturtäter (Dienststelle für Kultur der Stadt Biel),Biel,Biel,BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000077,remusic,Biel,Biel,BE,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000078,Uptown Productions,Biel,Biel,BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000079,Künstleragentur Nordart,Bischofszell,Bischofszell,TG,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000080,Aulaverein Bolligen <Spielstätte: Reberhaus Bolligen>,Bolligen,Bolligen,BE,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000081,Kulturpool,Bremgarten,Bremgarten,AG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000082,Kulturelle Vereinigung Brienz und Umgebung <verschiedene Spielstätten>,Brienz,Brienz,BE,,KTV,,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000083,Kulturverein Arcus (später: Kulturverein Odeon Brugg),Brugg,Brugg,AG,,,na,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000084,Kulturverein Odeon Brugg,Brugg,Brugg,AG,,KTV,a,,Kulturverein Arcus,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000085,Vogelfänger GmbH,Buchs,Buchs,AG,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000086,Music Productions Werdenberg,Buchs,Buchs,SG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000087,Agentur für ansprechenden Unfug,Burgdorf,Burgdorf,BE,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000088,Casino Gesellschaft Burgdorf,Burgdorf,Burgdorf,BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000089,KulturTräff Cham (Verein),Cham,Cham,ZG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000090,Albi Brun Kommunikation,Chur,Chur,GR,,,a,(noch existent?),,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000091,Chur tanzt,Chur,Chur,GR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000092,Churer Ensemble (Produzentengemeinschaft),Chur,Chur,GR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000093,Theater GR,Chur,Chur,GR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000094,Association Culturelle de Châtel-Saint-Denis,Châtel-Saint-Denis,Châtel-Saint-Denis,FR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000095,Carré dchoc,Couvet,Couvet,NE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000096,Chassotproductions,Cugy,Cugy,FR,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000097,Kulturkreis Dällikon,Dällikon,Dällikon,ZH,,,a,,,,,,
