owl:Class,dct:identifier,spa:accessionNumberPoster,schema:name,schema:author,eclap:director,schema:performer,spa:theaterSeason,eclap:firstPerformanceData,ex:Plakatart,ex:MasseincmHxB,ex:Technik,ex:Grafiker,ex:Drucker,ex:Verso,schema:comment
spa:Audio,STS-Plakat00006196,PL 038.008,"Spectaculum 83/  7. Sommerspielzeit im Alten Wiener Universitätsviertel, 9.- 31. Juli 1983",0,,,1982/83,09.07.1983,Veranstaltungsplakat, 83.5 x 58.5 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00006197,PL 038.009,"Wiener Kammeroper, am Fleischmarkt / Winterspielzeit 1979/ 80",0,,,1979/80,,Spielplanplakat,84.0 x 59.0 cm,Buchdruck,,,,
spa:Audio,STS-Plakat00006198,PL 038.010,Jedermann. Schauspiel  [Salzburger Festspiele 1961],"Hofmannsthal, Hugo von",Max Reinhardt,,1961,,Filmplakat,84.0 x 59.0 cm,Offsetdruck,,,,Eine Dürer-Filmproduktion im Bavaria-Filmverleih
spa:Audio,STS-Plakat00006199,PL 038.011,Einen Jux will er sich machen,"Nestroy, Johann",R: Leopold Lindtberg; BB: Stefan Hlawa; M: Alexander Steinbrecher,,,,Filmplakat,84.0 x 59.0 cm,Offsetdruck,,Piller Druck Wien VIII,,Bearbeitung und Film-Regie: Dr. Alfred Stöger
spa:Audio,STS-Plakat00006200,PL 038.012,"Don Carlos, Infant von Spanien ","Schiller, Friedrich",R: Josef Gielen; M: Rolf A: Wilhelm,,,,Filmplakat,83.8 x 59.0 cm,Offsetdruck,,,,Film-Regie: Dr. Alfred Stöger
spa:Audio,STS-Plakat00006201,PL 038.013,Maria Stuart. Trauerspiel in fünf Akten,"Schiller, Friedrich",R: Leopold Lindtberg; BB: Teo Otto; M: Franz Salmhofer,,,,Filmplakat,84.0 x 59.0 cm,Offsetdruck,,,,Bearbeitung und Film-Regie: Dr. Alfred Stöger
spa:Audio,STS-Plakat00006202,PL 038.014,La Gazzetta,"Rossini, Gioacchino",R: Maria Francesca Siciliani; BB: Waltraud Huber-Grüner; K: Denise Lister; ML: Hans Gabor ,,1975/76,07.06.1976,Stückplakat,83.8 x 59.0 cm,Agens-Werk Geyer+Reisser,Monica Grimburg Flood,,,Österreichische Erstaufführung
spa:Audio,STS-Plakat00006203,PL 038.015,Die Welt auf dem Monde. Dramma giocoso. Nach Motiven von Carlo Goldoni,"Haydn, Joseph",R: Glado von May; BB: Ruth Pulgram; K: Lucia Listopad,,1976/77,23.11.1976,Stückplakat,83.8 x 59.0 cm,Offsetdruck,Monica Grimburg Flood,,,
spa:Audio,STS-Plakat00006204,PL 038.016,La cambiale di matrimonio [I] ( Der Heiratswechsel). Libretto von Gaetano Rossi. / Angélique. Farce in einem Akt von Nino. Übersetzt von Marie Pappenheim.,"Rossini, Gioacchino; Ibert, Jacque",R: Erich L.Koller; BB: Peter Giljum; ML: Harald Goertz, ,1976/77,12.01.1977,Stückplakat,83.8 x 59.0 cm,Offsetdruck,Monica Grimburg Flood,,,
spa:Audio,STS-Plakat00006205,PL 038.017,Die Klassische Witwe./ Don Pedros Puppenspiel,"Offenbach, Jacques; Falla, Manuel de",R: Jürgen Kaizik; BB: Peter Giljum; ML: Harald Goertz,,1976/77,21.03.1977,Stückplakat,83.8 x 59.0 cm,Offsetdruck,Monica Grimburg Flood,,,
spa:Audio,STS-Plakat00006206,PL 038.018,Wiener Kammeroper am Fleischmarkt. Winterspielzeit 1975/76,0,,,1975/76,,Veranstaltungsplakat,84.0 x 59.0 cm,Buchdruck,,"Agens-Werk Geyer+Reisser, Wien",,
spa:Audio,STS-Plakat00006207,PL 038.019,Kammeroper im Schönbrunner Schlosstheater. 23. Sommerspiele Juli/August 1976,0,,,1975/76,,Veranstaltungsplakat,84.5 x 39.0 cm,Offsetdruck,Monica Grimburg Flood,"Agens-Werk Geyer+Reisser, Wien",,
spa:Audio,STS-Plakat00006208,PL 038.020,Whatan Opera-Singer has to know./ Capecchi in Vienna,0,,Renato Capecchi,1975/76,08.06.1976,Veranstaltungsplakat,84.0 x 58.8 cm,Offsetdruck,Monica Grimburg Flood,"Agens-Werk Geyer+Reisser, Wien",,
spa:Audio,STS-Plakat00006209,PL 038.021,Vereinigte Bühnen Stadt Graz-Land Steiermarkt. Eröffnung der Spielzeit 1959/ 60,0,,,1959/60,,Spielplanplakat,61.0 x 86.0 cm,Buchdruck,,"Stelerm. Landesdruckerei, Graz",,
spa:Audio,STS-Plakat00006210,PL 038.022,Wochenspielplan der Wiener Bühnen,0,,,1967/68,,Spielplanplakat,85.8 x 121.2 cm,Buchdruck,,Agens-Werk-Geyer + Co.- Wien,,
spa:Audio,STS-Plakat00006211,PL 038.023,Der Engel von Prag,"Bresgen, Cesar",,,1978/79,25.12.1978,Stückplakat,69.0 x 48.0 cm,Siebdruck,Axel Heiner,,,
