owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000702,Theatergruppe Feldis / Veulden (TGF),Feldis/Veulden,Feldis/Veulden,GR,,BVV,a,,Gemischter Chor Feldis,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000703,Ann-Ann-Theater,Feldmeilen,Feldmeilen (nicht ZSV),ZH,,-0,na,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000704,"Atelier-Theater Heubühni (später: Atelier Theater Meilen, Meilen)",Feldmeilen,Feldmeilen,ZH,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000705,Theatergruppe Felsberg,Felsberg (Reichenau/Tamins),,GR,,BVV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000706,Gemischter Chor Fendringen,Fendringen,Fendringen,FR,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000707,Gemischter Chor Ferenbalm,Ferenbalm,Ferenbalm,BE,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000708,Fét'les'Thères (troupe),Fétigny,Fétigny (nicht ZSV),FR,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000709,Theatergruppe Filisur,Filisur,Filisur,GR,,BVV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000710,Théâtre Valaisan,Finhaut,Finaut (nicht ZSV),VS,,-0,na,1933-1939,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000711,La Dino-Troupe,Finhaut,Finhaut (nicht ZSV),VS,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000712,Theatergruppe des Männerchors Finsterhennen,Finsterhennen,Finsterhennen,BE,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000713,Theatergruppe Fischbach-Göslikon,Fischbach-Göslikon,Fischbach-Göslikon,AG,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000714,Dreikönigsspiel,Fislisbach,Fislisbach,AG,,-0,na,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000715,Musicalfieber Flawil (Verein),Flawil,Flawil (ZSV?),SG,,-0,a,2014/15-,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000716,Ross & heiter (Improtheater),Flawil,Flawil (nicht ZSV),SG,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000717,Theatergruppe Flims,Flims,Flims,GR,,BVV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000718,Märchenbühne Tillevip,Flums,Flums (nicht ZSV),SG,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000719,Theatergesellschaft Flums,Flums,Flums,SG,,VOV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000720,Mirabilis,Font,Font (nicht ZSV),FR,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000721,"Theatergruppe FAST (TG FAST, Theatergruppe Frasnacht Arbon Stachen)(Theatergruppe Frasnacht-Stachen)",Frasnacht,Frasnacht,TG,,VOV,a,,Theatergruppe Frasnacht-Stachen,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000722,Theater im Schloss,Fraubrunnen,Fraubrunnen,BE,,BGVT,a,(noch existent?),,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000723,Trachtengruppe Fraubrunnen,Fraubrunnen,Fraubrunnen,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000724,Jugendtheater Frauenfeld (später: Kindertheater FLOH),Frauenfeld,Frauenfeld,TG,,-0,na,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000725,Junges Theater Thurgau,Frauenfeld,Frauenfeld (nicht ZSV),TG,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000726,Kindertheater Floh,Frauenfeld,Frauenfeld,TG,,VOV,a,,Jugendtheater Frauenfeld,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000727,Korn (Theatergruppe),Frauenfeld,Frauenfeld (nicht ZSV),TG,,,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000728,Laienspiebühne Frauenfeld,Frauenfeld,Frauenfeld,TG,,VOV,a,(noch existent?) evtl. fusioniert mit Seniorenbühne zu LSB,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000729,LSB Frauenfeld Seniorenbühne,Frauenfeld,Frauenfeld,TG,,VOV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000730,Seniorenbühne Frauenfeld,Frauenfeld,Frauenfeld,TG,,VOV,a,(noch existent?) evtl. fusioniert mit Seniorenbühne zu LSB,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000731,Theatergruppe Bünifäger,Frauenkappelen,Frauenkappelen,BE,,-0,a,(noch existent?),,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000732,Aromat,Freiburg,Freiburg,FR,,-0,na,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000733,Deutschfreiburgische Theatergruppe (DFTG),Freiburg,Freiburg,FR,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000734,Freiburger Kinder- und Jugendtheater,Freiburg,Freiburg (nicht ZSV),FR,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000735,Kuriosum Sonnenberg (Le Boucher Corpaato),Freiburg,Freiburg,FR,,-0,a,(noch existent?),,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000736,L'Auftritt (Unitheatergruppe),Freiburg,Freiburg (nicht ZSV),FR,,,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000737,Studenten deutscher Sprache (Deutsschprachige Studententheatergruppe) (Theatergruppe),Freiburg,Freiburg: Studententheater diverse (nicht ZSV),FR,,,a,(noch existent?),,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000738,Theater-Zyt Freiburg,Freiburg,Freiburg,FR,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000739,Theater Purpurrot,Freienstein,Freienstein,ZH,,-0,a,,tribüHne,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000740,tribüHne (später: Theater Purpurrot),Freienstein,Freienstein,ZH,,-0,na,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000741,Theater Rampenlicht Frenkendorf-Füllinsdorf,Frenkendorf,Frenkendorf,BL,,RVNWS,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000742,Berner Theater in Frick (Bernerverein und Bernerchörli Frick und Umgebung),Frick,Frick,AG,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000743,Compagnie Théâtrale AOC,Fribourg,Fribourg (nicht ZSV),FR,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000744,Kollegium St. Michael (Collège St. Michel),Fribourg,Fribourg (nicht ZSV),FR,,,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000745,FoiR (Association fribourgeoise d’improvisation théâtrale),Fribourg,Fribourg (nicht ZSV),FR,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000746,just a moment (insieme Fribourg,Fribourg,Fribourg (nicht ZSV),FR,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000747,Les Rescapés,Fribourg,Fribourg (nicht ZSV),FR,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000748,Nouveau Théâtre,Fribourg,Fribourg (nicht ZSV),FR,,FSSTA ,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000749,Théâtre de la Cité,Fribourg,Fribourg (nicht ZSV),FR,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000750,Vertige Atelier Théâtre (Collège Gambach),Fribourg,Fribourg (nicht ZSV),FR,,AFTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000751,Théâtre des Habitants,Fribourg,Fribourg (nicht ZSV),FR,,-0,na,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000752,Trachtengruppe und Jodlerchörli Frieswil,Frieswil,Frieswil,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000753,Union chorale L’Espérance,Froideville,Froideville (nicht ZSV),VD,,FSSTA,a,,,,,,
