owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000165,instant theater (Instant-Theater) (Instant Theater),"Stöcklin, Christof + Wiener, D, + Schmid, R. + Haering, C.",Basel,Basel,BS,,,,na,1991-?,,,,1 C,1991-(1993)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000166,JOPO (Duo Fatale),"Jopo + Poffet, Ingeborg",Basel,Basel,BS,,,,a,?,,,,1 C,2003 / 2009
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000167,josyannasepp <freie Theatergruppe>,?,Basel,Basel,BS,,,,na,1990-?,,,,1 C,1990-(1991)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000168,Jugendbühne Basel (Basler Jugendbühne),"Frank, Rudolf u.a.",Basel,Basel,BS,,,,na,1947-1949,,,,1 C,1947-1949
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000169,Junges Theater Basel (inkl. Basler Jugendtheater),-0,Basel,Basel,BS,,Assitej,,a,1977-,,,,1 S,(1979)-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000170,Kalasri (Ensemble und Tanschule),"Jenny Keshava, Esther + Keshava, Dasappa Vidwan + Keshava, Anjali + Keshava, Sumitra",Basel,"Basel, auch Basel: Esther & Keshava",BS,,,,a,1976-,,,,1 C,1976-(2011)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000171,Kammerorchester Basel (KOB),-0,Basel,Basel,BS,,,,a,,Basler Kammerorchester (BKO),,,1 C,1942 / 1951 / 1966 / 2002 / 2003
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000172,Kapelle Sorelle,"Gregori, Ursina + Wittmer, Charlotte",Basel/Rupperswil,Zürich,BS,,KTV,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000173,Kernwert,"Traub, Raphale + Andereggen, Viviane",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000174,Klara Theaterproduktionen (Theater Klara) (früher: PIX),"Frick, Christoph + Haderek, Jordy",Basel,Basel,BS,,,,a,1991-,PIX,,,2 C,1991-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000175,Kurzer Prozess,"Clalüna, Tomasch",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000176,L'Avant-Scène de Bâle,-0,Basel,Basel,BS,,,,na,1957-,,,,1 C,1957-(1993)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000177,La satire continue,"Ackermann, Ueli",Basel,Kabarett: Basel,BS,,KTV,,a,,ZytDruck (bis 2002),,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000178,La Cetra Barockorchester Basel,-0,Basel,Basel,BS,,,,a,1999-,,,,1 C,(2007)-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000179,La Tina & The Amber Ensemble,La Tina,Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000180,Larynx Vokalensemble,,Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000181,Les artistes dépressifs,"Wey, Zino",Basel?,Basel,BS,,,,a,,,,,,
