owl:Class,dct:identifier,schema:name,ex:Art,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:Rep,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000131,Bahnhofbuffet Bern,-0,x,Bern,Bern,BE,,x,na,,"1994, 1995",,,,1 C,"1994, 1995",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000132,"Bärengraben (2010: Produktion ""Warten auf Godot)",einmalig,x,Bern,Bern,BE,,x,na,,2010,,,,1 C,2010,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000133,"Berner Puppentheater (Berner Puppen Theater) (ab 1992 inkl. Puppenbühne Demenga Wirth, Puppenbühne Monika Demenga / Hans Wirth) (1971-1992 inkl. Berner Puppentheater Rolf Meyer, Martin Friedli)",P G PUTH,STP,Bern,Bern: Puppentheater Diverse <vor 1992 siehe auch: Bern: Puppenbühne Monika Demenga / Hans Wirth,BE,,KTV Unima,a,,1980-,,,,1 C                 1 C,(1992)-         (1971)-1992,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000134,Bierhübeli,G,Grosse Konzert Säle,Bern,Bern,BE,,,a,,,,,,1 C,"1988, 1991,, 1996-1998, 2000-",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000135,Botanischer Garten Bern (BOGA),-0,,Bern,"Bern <siehe auch Bern: Theatergruppe BOGA, ZSV>",BE,,,a,,?,,,,1 C,"1997, 2004, 2008",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000136,"Braui-Saal (Alte Brauerei Wabern)(Projekt Kleinkunst, später siehe Heitere Fahne)",,,Bern (Wabern),Bern,BE,,,na,,2001,,,,1 C,2001,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000137,Bürenpark (kirchliches Zentrum),-0,x,Bern,Bern,BE,,,na,,?,,,,1 C,"1980, 1984, 1987, 1990",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000138,Burgerratssaal,-0,x,Bern,Bern,BE,,,na,,(noch existent?),,,,1 C,"1947, 1949, 1994",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000139,"Capitol-Theater (Kapitol) (Variété-Bühne, Kino)",G,x,Bern,?,BE,,x,na,,1929-Ende 1940er Jahre,,,,1 C,"1929, 1946, 1981",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000140,Chleehus Bümpliz (Quartierzentrum Chleehus),-0,x,Bern (Bümpliz),Bern,BE,,x,na,,?,,,,1 C,"1983, 1984, 1985",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000141,Corso-Theater Bern,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,(1942)-(1949),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000142,Dampfzentrale (Dampf Zentrale Bern) ,G,STT,Bern,Bern,BE,,Premio,a,,1987-,Kulturhallen Dampfzentrale,,,2 S,1987-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000143,Elfenau,-0,x,Bern,Bern,BE,,x,a,,"1979, 1987, 1997, 2002, 2009",,,,1 C,"1979, 1987, 1997, 2002, 2009",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000144,Fellerstock Bümpliz,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1983, 1984, 1985, 1989",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000145,Festhalle BEA (inkl. BEA Pferd),-0,x,Ben,Bern (früher siehe: Verein Berner Festspiele),BE,,x,a,,?,,,,1 C,"1991, 1993, 1995, 2000-",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000146,Französische Kirche,-0,x,Bern,Bern,BE,,x,a,,?,,,,1 C,"1946, 1973, 1977, 1981, 1985",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000147,Gäbelhus,-0,x,Bern,Bern,BE,,x,a,,?,,,,1 C,"1972, 1981",
